onset	duration	trial_type	response_time	stim_file	resp	acc
6.30102970796	0.5	scene1	0.450346260681	k078.jpg	1.0	1.0
9.30103992387	0.5	baseline	0.600265374407	BL	2.0	1.0
14.803395903	0.5	face1	0.45036488981	k053.jpg	2.0	1.0
17.8010831915	0.5	COND	0.283886016347	k026.jpg	1.0	1.0
20.8011093323	0.5	scene2	0.300407015602	k085.jpg	2.0	0.0
23.8012355294	0.5	baseline	0.183716191212	BL	1.0	1.0
29.3046948314	0.5	scene2	0.381473008194	k085.jpg	2.0	0.0
32.3013584213	0.5	COND	0.366979274899	k026.jpg	2.0	1.0
35.3014281302	0.5	face2	0.466986846644	k025.jpg	2.0	1.0
38.3013920738	0.5	COND	0.433717092616	k026.jpg	2.0	1.0
41.3013421959	0.5	face2	0.40034367668	k025.jpg	2.0	0.0
44.3014257263	0.5	COND	0.400310024153	k026.jpg	2.0	1.0
47.3014719986	0.5	scene2	0.383646302042	k085.jpg	2.0	1.0
50.3014224212	0.5	baseline	0.483646963025	BL	1.0	1.0
55.8025951526	0.5	scene2	0.350307740504	k085.jpg	1.0	1.0
58.8015609375	0.5	baseline	0.283640833455	BL	1.0	1.0
64.3027553027	0.5	face2	0.417109257774	k025.jpg	1.0	1.0
67.3018064209	0.5	COND	0.300280518131	k026.jpg	2.0	1.0
70.3017775758	0.5	scene2	0.433745937655	k085.jpg	2.0	0.0
73.3018767307	0.5	COND	0.400325948955	k026.jpg	2.0	1.0
76.3018370687	0.5	face2	0.383649607305	k025.jpg	2.0	1.0
79.3018944583	0.5	COND	0.266975308652	k026.jpg	2.0	1.0
82.3019404301	0.5	face1	0.183653393178	k053.jpg	1.0	1.0
85.3019587588	0.5	COND	0.250504187308	k026.jpg	1.0	0.0
88.3019848996	0.5	face1	0.43371889554	k053.jpg	1.0	0.0
91.3021372375	0.5	COND	0.333703210927	k026.jpg	2.0	0.0
94.3025320541	0.5	face1	0.21689550404	k053.jpg	2.0	1.0
