onset	duration	trial_type	response_time	stim_file	resp
214.752137538	0.5	scence	0.800266996957	s068.jpg	1.0
216.002121613	0.5	scence	0.683670519851	s056.jpg	1.0
217.252108392	0.5	scence	0.617146936711	s061.jpg	2.0
218.502212956	0.5	math	0.783563312492	1	1.0
219.752176599	0.5	math	0.56692531053	4	1.0
221.002134834	0.5	math	0.550330696395	7	2.0
222.252105688	0.5	math	0.45024019503	9	2.0
223.502224374	0.5	math	0.450309903943	9	2.0
224.752219566	0.5	math	0.550242959405	3	1.0
226.002222571	0.5	math	0.61694652366	7	2.0
227.252257125	0.5	math	0.583617276629	3	1.0
228.502197031	0.5	math	0.666948206373	1	1.0
229.752353575	0.5	math	0.700467349729	3	1.0
231.012253435	0.5	face	0.817065930227	WWmale28-2neutral.bmp	2.0
232.293008562	0.5	face	0.60033267946	Bmale_22.bmp	2.0
233.518959307	0.5	face	0.566896765959	TMBfemale19neutral.bmp	1.0
234.768992959	0.5	face	0.600159909693	EMImale24neutral.bmp	2.0
236.018906424	0.5	face	0.550338508678	EMWfemale24-2neutral.bmp	1.0
237.269010988	0.5	face	0.683556942502	TMWfemale28-2neutral.bmp	1.0
238.518949091	0.5	face	0.666949107777	WWmale22-2neutral.bmp	2.0
239.769052152	0.5	face	0.80022673402	EMWmale21-2neutral.bmp	2.0
241.018983044	0.5	face	0.566983000725	TMWfemale29neutral.bmp	1.0
242.268985748	0.5	face	0.716921945335	TMWmale20-3neutral.bmp	2.0
243.518998969	0.5	face	0.616964551853	TMBfemale19neutral.bmp	1.0
244.769017297	0.5	face	0.65022138576	EMImale25-3neutral.bmp	2.0
246.019008884	0.5	face	0.716876574443	EMImale24neutral.bmp	2.0
247.269129372	0.5	face	0.916918159346	TMWfemale24-2neutral.bmp	1.0
248.519133279	0.5	face	0.766834688955	TMWmale22-3neutral.bmp	2.0
249.769425335	0.5	face	0.650255639106	TMWfemale29neutral.bmp	1.0
251.019088208	0.5	face		TMBmale18neutral.bmp	
252.269038631	0.5	face	0.483762643649	EMWfemale26neutral.bmp	1.0
253.519186762	0.5	face	0.80023634911	WWmale23-4neutral.bmp	2.0
254.769151607	0.5	face	0.616906260722	WWmale21-2neutral.bmp	2.0
256.019203288	0.5	math	0.933669317979	7	2.0
257.269286518	0.5	math	0.383591917111	7	2.0
258.519413015	0.5	math	0.466884987545	3	1.0
259.769267588	0.5	math	0.567001930322	9	2.0
261.019367344	0.5	math	0.70023148146	2	1.0
262.269357729	0.5	math	0.650247526588	7	2.0
263.519253767	0.5	math	0.616905359318	8	2.0
264.769399494	0.5	math	0.800342414645	4	1.0
266.01936464	0.5	math	0.666871586698	3	1.0
267.269288321	0.5	math	0.567004333949	4	1.0
268.528655448	0.5	scence	0.833628093707	s059.jpg	2.0
269.76958909	0.5	scence	0.648993668496	w075.jpg	1.0
271.019538011	0.5	scence	0.566926812986	w053.jpg	1.0
272.269699062	0.5	scence		w078.jpg	
273.519546724	0.5	scence	0.583665351733	w058.jpg	1.0
274.769514274	0.5	scence	0.650211169734	s057.jpg	2.0
276.019447569	0.5	scence	0.850417712238	s063.jpg	2.0
277.26958248	0.5	scence	0.700277453288	w078.jpg	1.0
278.51947341	0.5	scence	0.583628694527	w074.jpg	1.0
279.769564452	0.5	scence	0.650316934916	s059.jpg	2.0
281.019558743	0.5	scence	0.533646241995	w058.jpg	1.0
282.269592396	0.5	scence	0.733573648613	s060.jpg	2.0
283.519532302	0.5	scence	0.633752067224	w066.jpg	1.0
284.770002536	0.5	scence	0.700257021352	s059.jpg	1.0
286.019580076	0.5	scence	0.765472662053	s065.jpg	2.0
287.269672621	0.5	scence	0.633641194087	s072.jpg	2.0
288.519731813	0.5	scence	0.767213580781	s068.jpg	1.0
289.769685841	0.5	scence	0.63363187958	w069.jpg	1.0
291.020285578	0.5	scence		s051.jpg	
292.269574067	0.5	scence	0.633553156513	s068.jpg	2.0
293.519686442	0.5	math	0.716967917047	3	1.0
294.769674724	0.5	math	0.666892920039	7	2.0
296.019689147	0.5	math	0.5169512711	9	2.0
297.269705071	0.5	math	0.583595042001	1	1.0
298.519779287	0.5	math	0.500280037289	6	2.0
299.769799118	0.5	math	0.483675808064	1	1.0
301.019747438	0.5	math	0.900298606372	8	2.0
302.269798217	0.5	math	0.533538373536	3	1.0
303.519818048	0.5	math	0.683691853308	1	1.0
304.769751043	0.5	math	0.466939072008	8	2.0
306.02929695	0.5	face	0.500323605258	EMImale23neutral.bmp	2.0
307.270129935	0.5	face	0.6837408297	TMWfemale25-2neutral.bmp	1.0
308.519852902	0.5	face	0.633571785758	EMBfemale29neutral.bmp	1.0
309.769944846	0.5	face	0.583730854094	WWmale21-2neutral.bmp	2.0
311.019878142	0.5	face	0.633564574411	TSFWfemale26neutral.bmp	1.0
312.269980001	0.5	face	0.916955417604	TSFWmale23neutral.bmp	1.0
313.520085766	0.5	face	0.450282260776	EMWfemale27-3neutral.bmp	1.0
314.770080057	0.5	face	0.550219522789	WImale26neutral.bmp	2.0
316.020092376	0.5	face	0.366956739686	WImale24-2neutral.bmp	2.0
317.270042799	0.5	face	0.766953674844	EMWmale23-2neutral.bmp	1.0
318.520034987	0.5	face	0.533502617734	Wmale_23.bmp	2.0
319.770774441	0.5	face	0.517045918852	WImale25-2neutral.bmp	2.0
321.020096583	0.5	face	0.533605378238	WWfemale22-4neutral.bmp	1.0
322.270102893	0.5	face	0.583670760272	EMWfemale25neutral.bmp	1.0
323.520096282	0.5	face	0.616913772537	WImale24-2neutral.bmp	2.0
324.770061428	0.5	face	0.700086054392	EMWfemale27neutral.bmp	1.0
326.020055419	0.5	face	0.683623346267	TMBfemale19neutral.bmp	1.0
327.270164789	0.5	face	0.617071518791	EMBmale20neutral.bmp	2.0
328.520116113	0.5	face	0.833735962049	EMBfemale25neutral.bmp	1.0
329.770217071	0.5	face		EMImale24neutral.bmp	
331.020132639	0.5	math	0.0335735284025	6	2.0
332.270307212	0.5	math	0.600394876557	3	1.0
333.520238705	0.5	math	0.516935045831	8	2.0
334.770284376	0.5	math	0.766953073908	2	1.0
336.020369409	0.5	math	0.616915274877	2	1.0
337.270297296	0.5	math	0.700312608271	3	1.0
338.520316526	0.5	math	0.633591616759	6	2.0
339.770253127	0.5	math	0.466889795032	6	2.0
341.020337259	0.5	math	0.700304795988	4	1.0
342.270358893	0.5	math	0.633621663554	7	2.0
343.529607034	0.5	scence	0.567030474776	s063.jpg	2.0
344.77058124	0.5	scence	0.615526205744	w075.jpg	1.0
346.020424395	0.5	scence	0.733670700225	s060.jpg	2.0
347.270503118	0.5	scence	0.700296082417	s055.jpg	2.0
348.520371212	0.5	scence	0.683720397763	w074.jpg	1.0
349.770391343	0.5	scence	0.683617036324	s068.jpg	2.0
351.020464958	0.5	scence	0.716967015644	s052.jpg	2.0
352.270508827	0.5	scence	0.800300649484	w058.jpg	1.0
353.520449334	0.5	scence	0.783617697423	w074.jpg	1.0
354.770540376	0.5	scence	0.75019530498	w058.jpg	1.0
356.020640733	0.5	scence	0.616985284258	s072.jpg	2.0
357.270631418	0.5	scence	0.633645701106	w078.jpg	1.0
358.520654855	0.5	scence	0.800318978145	s059.jpg	1.0
359.77076723	0.5	scence	0.550166640198	s063.jpg	1.0
361.020541578	0.5	scence	0.900341873872	s056.jpg	2.0
362.270521747	0.5	scence	0.750239474	s054.jpg	2.0
363.520663268	0.5	scence	0.600313449395	w078.jpg	1.0
364.770737183	0.5	scence	0.750300168758	w062.jpg	1.0
366.020678892	0.5	scence	0.683658801601	w066.jpg	1.0
367.270726967	0.5	scence	0.633614752791	s061.jpg	2.0
368.520640432	0.5	math	0.750279736822	9	2.0
369.770722761	0.5	math	0.533623406314	2	1.0
371.020663869	0.5	math	0.466942377272	3	1.0
372.270691512	0.5	math	0.550230940571	8	2.0
373.520841146	0.5	math	0.51690499892	8	2.0
374.770787962	0.5	math	0.916946403566	7	2.0
376.020890723	0.5	math	0.650272765895	3	1.0
377.270877202	0.5	math	0.55021651811	3	1.0
378.520829427	0.5	math	0.600276191253	8	2.0
379.770852563	0.5	math		6	
381.030623221	0.5	face	0.683563853265	WWmale20-2neutral.bmp	2.0
382.271271718	0.5	face	0.78363722784	WImale24-2neutral.bmp	2.0
383.521123887	0.5	face	0.583734159358	EMWfemale25neutral.bmp	1.0
384.770814704	0.5	face	0.666906441096	TMBfemale20neutral.bmp	1.0
386.020857671	0.5	face	0.733557723812	WWfemale22-3neutral.bmp	1.0
387.271046366	0.5	face	0.683633261709	EMBmale26neutral.bmp	2.0
388.52098507	0.5	face	0.616899650428	EMImale25-3neutral.bmp	2.0
389.771004	0.5	face	0.683675928391	WWmale23-2neutral.bmp	2.0
391.020929183	0.5	face	0.75022685423	TMBfemale19-2neutral.bmp	1.0
392.271000394	0.5	face	0.633755672839	EMBmale20neutral.bmp	2.0
393.521033145	0.5	face	0.533950316836	EMWfemale26neutral.bmp	1.0
